CustomerKey,FirstName,LastName,Full Name,Gender,YearlyIncome,DateFirstPurchase,Customer City
11044,Adam,Flores,AdamFlores,Male,20000.00,2018-02-28,Hervey Bay
11045,Leonard,Nara,LeonardNara,Male,30000.00,2020-04-10,Matraville
11046,Christine,Yuan,ChristineYuan,Female,30000.00,2018-02-06,Lavender Bay
11047,Jaclyn,Lu,JaclynLu,Female,30000.00,2018-02-03,Geelong
11048,Jeremy,Powell,JeremyPowell,Male,30000.00,2018-02-10,Sunbury
11049,Carol,Rai,CarolRai,Female,40000.00,2020-03-09,Chula Vista
11050,Alan,Zheng,AlanZheng,Male,30000.00,2018-02-20,Hobart
11051,Daniel,Johnson,DanielJohnson,Male,30000.00,2020-12-29,Caloundra
11052,Heidi,Lopez,HeidiLopez,Female,40000.00,2018-02-17,Matraville
11053,Ana,Price,AnaPrice,Female,60000.00,2020-01-17,San Diego
11054,Deanna,Munoz,DeannaMunoz,Female,40000.00,2018-02-03,Geelong
11055,Gilbert,Raje,GilbertRaje,Male,40000.00,2018-01-31,East Brisbane
11056,Michele,Nath,MicheleNath,Female,40000.00,2018-02-26,Newcastle
11057,Carl,Andersen,CarlAndersen,Male,70000.00,2018-02-22,Lane Cove
11058,Marc,Diaz,MarcDiaz,Male,80000.00,2018-03-09,Findon
11059,Ashlee,Andersen,AshleeAndersen,Female,80000.00,2020-02-18,Townsville
11060,Jon,Zhou,JonZhou,Male,80000.00,2018-03-19,Warrnambool
11061,Todd,Gao,ToddGao,Male,80000.00,2018-03-13,Gold Coast
11062,Noah,Powell,NoahPowell,Male,40000.00,2020-01-07,Portland
11063,Angela,Murphy,AngelaMurphy,Female,40000.00,2020-01-12,Redmond
11064,Chase,Reed,ChaseReed,Male,40000.00,2020-01-25,Downey
11065,Jessica,Henderson,JessicaHenderson,Female,60000.00,2020-02-10,La Jolla
11066,Grace,Butler,GraceButler,Female,70000.00,2020-05-31,Lebanon
11067,Caleb,Carter,CalebCarter,Male,60000.00,2020-08-18,Port Orchard
11068,Tiffany,Liang,TiffanyLiang,Female,80000.00,2020-04-30,Warrnambool
11069,Carolyn,Navarro,CarolynNavarro,Female,80000.00,2018-04-17,Gold Coast
11070,Willie,Raji,WillieRaji,Male,80000.00,2018-04-28,Sunbury
11071,Linda,Serrano,LindaSerrano,Female,80000.00,2020-03-01,Hawthorne
11072,Casey,Luo,CaseyLuo,Female,80000.00,2018-03-31,St. Leonards
11073,Amy,Ye,AmyYe,Female,70000.00,2020-03-23,Springwood
11074,Levi,Arun,LeviArun,Male,70000.00,2020-03-23,Cloverdale
11075,Felicia,Jimenez,FeliciaJimenez,Female,80000.00,2018-04-28,Bendigo
11076,Blake,Anderson,BlakeAnderson,Male,80000.00,2018-04-21,Wollongong
11077,Leah,Ye,LeahYe,Female,80000.00,2018-04-15,Melton
11078,Gina,Martin,GinaMartin,Female,40000.00,2020-02-15,Cliffside
11079,Donald,Gonzalez,DonaldGonzalez,Male,160000.00,2020-03-15,Geelong
11080,Damien,Chander,DamienChander,Male,170000.00,2018-04-10,Perth
11081,Savannah,Baker,SavannahBaker,Female,120000.00,2020-02-12,Concord
11082,Angela,Butler,AngelaButler,Female,130000.00,2020-01-22,Fremont
11083,Alyssa,Cox,AlyssaCox,Female,130000.00,2020-01-06,Lincoln Acres
11084,Lucas,Phillips,LucasPhillips,Male,80000.00,2020-01-04,Lebanon
11085,Emily,Johnson,EmilyJohnson,Female,60000.00,2020-12-06,Newport Beach
11086,Ryan,Brown,RyanBrown,Male,70000.00,2020-07-02,Santa Monica
11087,Tamara,Liang,TamaraLiang,Female,70000.00,2020-02-25,Chula Vista
11088,Hunter,Davis,HunterDavis,Male,80000.00,2020-01-13,San Diego
11089,Abigail,Price,AbigailPrice,Female,80000.00,2019-12-29,Long Beach
11090,Trevor,Bryant,TrevorBryant,Male,90000.00,2018-08-07,Los Angeles
11091,Dalton,Perez,DaltonPerez,Male,90000.00,2020-01-29,Haney
11092,Cheryl,Diaz,CherylDiaz,Female,90000.00,2018-04-08,East Brisbane
11093,Aimee,He,AimeeHe,Female,100000.00,2018-04-07,Wollongong
11094,Cedric,Ma,CedricMa,Male,70000.00,2020-04-07,Cranbourne
11095,Chad,Kumar,ChadKumar,Male,70000.00,2018-04-01,Port Macquarie
11096,Andrés,Anand,AndrésAnand,Male,60000.00,2018-04-11,North Sydney
11097,Edwin,Nara,EdwinNara,Male,60000.00,2018-04-04,Warrnambool
11098,Mallory,Rubio,MalloryRubio,Female,60000.00,2020-02-11,Rhodes
11099,Adam,Ross,AdamRoss,Male,60000.00,2018-04-07,Port Macquarie
11100,Latasha,Navarro,LatashaNavarro,Female,60000.00,2018-04-16,Cloverdale
11101,Abby,Sai,AbbySai,Female,70000.00,2018-04-29,Cranbourne
11102,Julia,Nelson,JuliaNelson,Female,80000.00,2020-07-16,Sydney
11103,Cassie,Chande,CassieChande,Female,70000.00,2018-04-15,Darlinghurst
11104,Edgar,Sara,EdgarSara,Male,70000.00,2018-05-04,Gold Coast
11105,Candace,Fernandez,CandaceFernandez,Female,70000.00,2018-05-14,Matraville
11106,Jessie,Liu,JessieLiu,Male,70000.00,2018-05-18,Warrnambool
11107,Bianca,Lin,BiancaLin,Female,90000.00,2018-05-01,St. Leonards
11108,Kari,Alvarez,KariAlvarez,Female,70000.00,2018-05-03,Port Macquarie
11109,Ruben,Kapoor,RubenKapoor,Male,70000.00,2018-05-10,South Melbourne
11110,Curtis,Yang,CurtisYang,Male,60000.00,2018-05-01,Darlinghurst
11111,Meredith,Gutierrez,MeredithGutierrez,Female,60000.00,2018-05-20,Geelong
11112,Crystal,Wang,CrystalWang,Female,60000.00,2018-05-25,Hervey Bay
11113,Micheal,Blanco,MichealBlanco,Male,70000.00,2020-02-01,Perth
11114,Leslie,Moreno,LeslieMoreno,Female,70000.00,2020-03-18,Rhodes
11115,Alvin,Cai,AlvinCai,Male,70000.00,2020-02-10,St. Leonards
11116,Clinton,Carlson,ClintonCarlson,Male,70000.00,2020-03-15,Sydney
11117,April,Deng,AprilDeng,Female,70000.00,2018-05-06,Matraville
11118,Alvin,Zeng,AlvinZeng,Male,80000.00,2020-07-10,Lavender Bay
11119,Evan,James,EvanJames,Male,30000.00,2020-02-03,Port Macquarie
11120,Beth,Jiménez,BethJiménez,Female,40000.00,2018-05-14,Sydney
11121,Orlando,Suarez,OrlandoSuarez,Male,70000.00,2020-06-24,Newcastle
11122,Byron,Vazquez,ByronVazquez,Male,70000.00,2020-02-21,North Sydney
11123,Philip,Alvarez,PhilipAlvarez,Male,70000.00,2020-04-17,Sunbury
11124,Ross,Jordan,RossJordan,Male,80000.00,2018-05-05,Warrnambool
11125,Dana,Navarro,DanaNavarro,Female,70000.00,2020-01-31,Seaford
11126,Shaun,Carson,ShaunCarson,Male,10000.00,2018-05-28,North Ryde
11127,Jan,Edwards,JanEdwards,Female,40000.00,2020-04-10,San Gabriel
11128,Samantha,Long,SamanthaLong,Female,40000.00,2020-06-19,Renton
11129,Julia,Wright,JuliaWright,Female,40000.00,2018-08-06,Sedro Woolley
11130,Caroline,Russell,CarolineRussell,Female,30000.00,2020-12-09,Lebanon
11131,Amanda,Rivera,AmandaRivera,Female,30000.00,2020-10-18,Haney
11132,Melissa,Richardson,MelissaRichardson,Female,30000.00,2020-04-09,Langford
11133,Angela,Griffin,AngelaGriffin,Female,30000.00,2020-12-30,Lake Oswego
11134,Larry,Townsend,LarryTownsend,Male,10000.00,2018-05-03,Perth
11135,Marcus,Harris,MarcusHarris,Male,30000.00,2020-04-18,Burlingame
11136,Brianna,Morgan,BriannaMorgan,Female,40000.00,2020-01-03,Metchosin
11137,Jasmine,Taylor,JasmineTaylor,Female,40000.00,2020-07-31,Spokane
11138,Lauren,Davis,LaurenDavis,Female,40000.00,2020-09-19,Glendale
11139,Tanya,Moreno,TanyaMoreno,Female,30000.00,2020-09-14,Cloverdale
11140,Javier,Alvarez,JavierAlvarez,Male,30000.00,2020-03-19,Burbank
11141,Nicole,Ramirez,NicoleRamirez,Female,40000.00,2020-05-16,Daly City
11142,Eduardo,Patterson,EduardoPatterson,Male,40000.00,2020-02-13,Langford
11143,Jonathan,Henderson,JonathanHenderson,Male,40000.00,2020-06-15,Lakewood
11144,Edward,Hernandez,EdwardHernandez,Male,40000.00,2020-01-25,Ballard
11145,Jasmine,Coleman,JasmineColeman,Female,40000.00,2020-01-25,Beaverton
11146,Karla,Goel,KarlaGoel,Female,40000.00,2020-02-05,Matraville
11147,Ernest,Wu,ErnestWu,Male,60000.00,2018-05-13,Warrnambool
11148,Ross,Vazquez,RossVazquez,Male,40000.00,2020-03-07,East Brisbane
11149,Theodore,Gill,TheodoreGill,Male,40000.00,2020-06-04,Hervey Bay
11150,Russell,Shen,RussellShen,Male,40000.00,2020-03-27,Sunbury
11151,Melinda,Gill,MelindaGill,Female,60000.00,2018-05-15,Sydney
11152,James,Williams,JamesWilliams,Male,40000.00,2020-01-09,Puyallup
11153,Angela,James,AngelaJames,Female,40000.00,2020-03-29,Renton
11154,Megan,Walker,MeganWalker,Female,40000.00,2020-01-10,Woodburn
11155,Hunter,Robinson,HunterRobinson,Male,40000.00,2020-01-06,Burbank
11156,Maria,Roberts,MariaRoberts,Female,40000.00,2020-01-08,Lakewood
11157,Hannah,Long,HannahLong,Female,40000.00,2020-07-24,Tacoma
11158,Jason,Wright,JasonWright,Male,40000.00,2020-01-19,San Gabriel
11159,Brianna,Hughes,BriannaHughes,Female,40000.00,2020-09-08,Woodland Hills
11160,Maurice,Tang,MauriceTang,Male,40000.00,2020-02-21,Concord
11161,Emily,Wood,EmilyWood,Female,40000.00,2020-06-01,Concord
11162,Chase,Cox,ChaseCox,Male,40000.00,2020-02-18,La Jolla
11163,Gabriel,Wang,GabrielWang,Male,40000.00,2020-05-01,Spring Valley
11164,Devin,Brooks,DevinBrooks,Male,40000.00,2020-04-27,Torrance
11165,Jocelyn,Alexander,JocelynAlexander,Female,60000.00,2020-05-25,Oakland
11166,Ashley,Martinez,AshleyMartinez,Female,70000.00,2020-10-14,Olympia
11167,Jasmine,Barnes,JasmineBarnes,Female,80000.00,2020-01-07,Issaquah
11168,David,Rodriguez,DavidRodriguez,Male,80000.00,2020-01-15,Oakland
11169,Bryce,Richardson,BryceRichardson,Male,90000.00,2020-05-26,Coronado
11170,Carol,Howard,CarolHoward,Female,90000.00,2020-08-26,Burien
11171,Jonathan,Hill,JonathanHill,Male,100000.00,2018-08-20,Woodland Hills
11172,Gabrielle,Adams,GabrielleAdams,Female,100000.00,2020-05-03,Lynnwood
11173,Sarah,Thomas,SarahThomas,Female,110000.00,2020-03-02,W. Linn
11174,Nicholas,Robinson,NicholasRobinson,Male,110000.00,2020-07-13,Los Angeles
11175,Luis,Wang,LuisWang,Male,70000.00,2018-08-28,Beverly Hills
11176,Mason,Roberts,MasonRoberts,Male,90000.00,2020-02-02,Haney
11177,Jose,Flores,JoseFlores,Male,110000.00,2020-03-29,San Diego
11178,Nathan,Johnson,NathanJohnson,Male,100000.00,2020-02-21,Lakewood
11179,Molly,Rodriguez,MollyRodriguez,Female,120000.00,2020-03-12,Beverly Hills
11180,April,Anand,AprilAnand,Female,160000.00,2020-03-17,Chula Vista
11181,Devin,Martin,DevinMartin,Male,170000.00,2020-05-07,Los Angeles
11182,Stephanie,Torres,StephanieTorres,Female,70000.00,2020-08-28,Sedro Woolley
11183,Jasmine,Lee,JasmineLee,Female,70000.00,2020-04-30,Santa Cruz
11184,Meghan,Hernandez,MeghanHernandez,Female,70000.00,2020-08-10,Concord
11185,Ashley,Henderson,AshleyHenderson,Female,70000.00,2020-02-21,Metchosin
11186,Sarah,Price,SarahPrice,Female,70000.00,2020-10-18,Palo Alto
11187,Jennifer,Cooper,JenniferCooper,Female,60000.00,2020-04-03,Burien
11188,Catherine,Morris,CatherineMorris,Female,60000.00,2020-11-01,San Gabriel
11189,Lawrence,Blanco,LawrenceBlanco,Male,60000.00,2018-08-26,Bellingham
11190,Carson,Bryant,CarsonBryant,Male,70000.00,2020-08-28,Beverly Hills
11191,Kristi,Perez,KristiPerez,Female,70000.00,2018-08-11,Colma
11192,James,Brown,JamesBrown,Male,60000.00,2020-06-23,Seattle
11193,Ian,Gray,IanGray,Male,60000.00,2020-02-25,Woodburn
11194,Jacqueline,Price,JacquelinePrice,Female,60000.00,2020-03-13,Palo Alto
11195,Megan,Henderson,MeganHenderson,Female,60000.00,2020-04-14,Renton
11196,Alfredo,Romero,AlfredoRomero,Male,60000.00,2020-03-03,Beaverton
11197,Andrea,Morris,AndreaMorris,Female,70000.00,2020-05-02,Seattle
11198,Brooke,Sanders,BrookeSanders,Female,70000.00,2020-02-05,Santa Cruz
11199,Jacqueline,Bennett,JacquelineBennett,Female,70000.00,2020-03-18,Burlingame
11200,Jason,Griffin,JasonGriffin,Male,70000.00,2020-02-07,Victoria
11201,Amanda,Foster,AmandaFoster,Female,70000.00,2020-07-01,Santa Monica
11202,Alexia,Price,AlexiaPrice,Female,80000.00,2020-09-15,Lakewood
11203,Luis,Diaz,LuisDiaz,Male,40000.00,2020-02-20,Port Hammond
11204,Destiny,Rivera,DestinyRivera,Female,40000.00,2020-08-09,Beaverton
11205,Abby,Fernandez,AbbyFernandez,Female,40000.00,2020-07-27,Burien
11206,Blake,Flores,BlakeFlores,Male,60000.00,2020-05-11,Lynnwood
11207,Danielle,Cox,DanielleCox,Female,60000.00,2020-01-31,Renton
11208,Maria,Reed,MariaReed,Female,60000.00,2020-03-04,Glendale
11209,Allison,Evans,AllisonEvans,Female,60000.00,2020-03-25,Lincoln Acres
11210,Edward,Wood,EdwardWood,Male,70000.00,2020-05-06,West Covina
11211,Samantha,Russell,SamanthaRussell,Female,40000.00,2020-02-01,Haney
11212,Chloe,Campbell,ChloeCampbell,Female,40000.00,2020-01-30,Metchosin
11213,Stephanie,Murphy,StephanieMurphy,Female,60000.00,2020-03-28,Edmonds
11214,Charles,Miller,CharlesMiller,Male,60000.00,2020-08-14,Milwaukie
11215,Ana,Perry,AnaPerry,Female,40000.00,2020-02-15,Royal Oak
11216,Jasmine,Torres,JasmineTorres,Female,60000.00,2018-08-15,Portland
11217,Natalie,Adams,NatalieAdams,Female,60000.00,2018-08-10,Portland
11218,Olivia,Brown,OliviaBrown,Female,60000.00,2020-02-28,Tacoma
11219,Charles,Cook,CharlesCook,Male,60000.00,2020-10-29,Woodburn
11220,Erica,Huang,EricaHuang,Female,60000.00,2020-03-14,Colma
11221,Nathan,Perry,NathanPerry,Male,70000.00,2020-04-07,Lakewood
11222,Alexandra,Rivera,AlexandraRivera,Female,80000.00,2020-11-01,Santa Monica
11223,Hailey,Patterson,HaileyPatterson,Female,70000.00,2020-01-29,Langley
11224,Tiffany,Li,TiffanyLi,Female,70000.00,2018-08-07,Burien
11225,Madison,Lee,MadisonLee,Female,60000.00,2020-06-22,Renton
11226,Sydney,Ross,SydneyRoss,Female,60000.00,2020-02-21,W. Linn
11227,Marshall,Chavez,MarshallChavez,Male,60000.00,2018-08-03,Colma
11228,Ashley,Jones,AshleyJones,Female,60000.00,2020-10-25,El Cajon
11229,Adrian,Stewart,AdrianStewart,Male,70000.00,2020-07-27,Redwood City
11230,Amber,Turner,AmberTurner,Female,70000.00,2020-07-16,Santa Monica
11231,Dennis,Zhang,DennisZhang,Male,60000.00,2020-02-10,Bremerton
11232,Hailey,Bryant,HaileyBryant,Female,60000.00,2020-09-20,Everett
11233,Todd,Li,ToddLi,Male,70000.00,2020-02-08,Berkeley
11234,Anna,Griffin,AnnaGriffin,Female,70000.00,2020-02-08,Long Beach
11235,Angel,Stewart,AngelStewart,Male,70000.00,2020-07-04,Ballard
11236,Jeremy,Butler,JeremyButler,Male,70000.00,2020-10-03,Bellingham
11237,Clarence,Anand,ClarenceAnand,Male,130000.00,2018-09-05,Solingen
11238,Mayra,Prasad,MayraPrasad,Female,130000.00,2018-01-06,Birmingham
11239,Latoya,Goel,LatoyaGoel,Female,130000.00,2018-01-19,London
11240,Anne,Hernandez,AnneHernandez,Female,160000.00,2018-02-27,Watford
11241,Lisa,Cai,LisaCai,Female,100000.00,2019-09-10,Les Ulis
11242,Larry,Munoz,LarryMunoz,Male,110000.00,2019-09-19,Versailles
11243,Robin,Alvarez,RobinAlvarez,Female,150000.00,2018-02-21,Esher-Molesey
11244,Alexis,Coleman,AlexisColeman,Female,170000.00,2018-02-12,Runcorn
11245,Ricky,Vazquez,RickyVazquez,Male,120000.00,2018-09-26,Hamburg
11246,Latasha,Rubio,LatashaRubio,Female,120000.00,2018-10-03,Hamburg
11247,Claudia,Zhou,ClaudiaZhou,Female,130000.00,2018-02-18,Lancaster
11248,Tristan,Alexander,TristanAlexander,Male,110000.00,2020-07-14,Saint-Denis
11249,Cindy,Patel,CindyPatel,Female,130000.00,2018-10-09,Sulzbach Taunus
11250,Shannon,Liu,ShannonLiu,Female,170000.00,2018-03-17,Woolston
11251,Xavier,Long,XavierLong,Male,30000.00,2020-10-18,Haney
11252,Nicholas,Thompson,NicholasThompson,Male,90000.00,2018-08-14,Lemon Grove
11253,José,Hernandez,JoséHernandez,Male,60000.00,2020-03-01,Victoria
11254,Johnathan,Vance,JohnathanVance,Male,70000.00,2020-11-23,Burien
11255,Colin,Lin,ColinLin,Male,70000.00,2020-02-23,Burien
11256,Katelyn,Hernandez,KatelynHernandez,Female,70000.00,2020-04-15,Lynnwood
11257,Jacqueline,Powell,JacquelinePowell,Female,120000.00,2018-08-24,Newport Beach
11258,Xavier,Hill,XavierHill,Male,120000.00,2020-05-21,Palo Alto
11259,Victoria,Stewart,VictoriaStewart,Female,100000.00,2018-09-04,Salem
11260,Katelyn,Kelly,KatelynKelly,Female,110000.00,2020-02-05,Burlingame
11261,Stephanie,Collins,StephanieCollins,Female,130000.00,2018-09-27,San Diego
11262,Jennifer,Simmons,JenniferSimmons,Female,80000.00,2020-02-27,Port Hammond
11263,Trinity,Richardson,TrinityRichardson,Female,90000.00,2018-08-29,Burien
11264,Eduardo,Martin,EduardoMartin,Male,90000.00,2020-01-02,Issaquah
11265,Elizabeth,Jones,ElizabethJones,Female,90000.00,2020-01-03,Kirkland
11266,Taylor,Howard,TaylorHoward,Female,90000.00,2018-09-10,Port Orchard
11267,David,Diaz,DavidDiaz,Male,120000.00,2018-09-17,Burlingame
11268,Katelyn,Carter,KatelynCarter,Female,130000.00,2020-05-29,Coronado
11269,Ryan,Foster,RyanFoster,Male,130000.00,2020-08-22,Daly City
11270,Robert,Lee,RobertLee,Male,130000.00,2018-09-10,Lakewood
11271,Danielle,Reed,DanielleReed,Female,150000.00,2018-09-27,San Francisco
11272,Lauren,Martinez,LaurenMartinez,Female,70000.00,2018-09-19,Beverly Hills
11273,Nathan,Lal,NathanLal,Male,90000.00,2020-05-14,La Jolla
11274,Kyle,Foster,KyleFoster,Male,50000.00,2018-08-29,Bellingham
11275,Jenny,Rai,JennyRai,Female,80000.00,2018-08-30,Colma
11276,Nancy,Chapman,NancyChapman,Female,80000.00,2020-01-29,Cliffside
11277,Charles,Jackson,CharlesJackson,Male,80000.00,2020-02-02,Royal Oak
11278,Jonathan,Phillips,JonathanPhillips,Male,90000.00,2018-09-16,Edmonds
11279,Amanda,Cook,AmandaCook,Female,90000.00,2020-03-03,Everett
11280,Robert,Collins,RobertCollins,Male,90000.00,2020-07-01,Lynnwood
11281,Megan,Barnes,MeganBarnes,Female,110000.00,2018-09-13,Burbank
11282,Christian,Thomas,ChristianThomas,Male,90000.00,2018-08-31,Burien
11283,Arturo,Lal,ArturoLal,Male,110000.00,2020-05-29,Berkeley
11284,Theresa,Serrano,TheresaSerrano,Female,110000.00,2020-02-06,Chula Vista
11285,Jeremy,Anderson,JeremyAnderson,Male,120000.00,2020-07-27,Fremont
11286,Hunter,Griffin,HunterGriffin,Male,170000.00,2018-09-21,Torrance
11287,Henry,Garcia,HenryGarcia,Male,70000.00,2020-01-29,Cliffside
11288,Cindy,Sanchez,CindySanchez,Female,110000.00,2020-03-05,Burbank
11289,Maria,Carter,MariaCarter,Female,130000.00,2018-09-08,Downey
11290,Katelyn,Sanchez,KatelynSanchez,Female,130000.00,2018-09-20,Lakewood
11291,Jenna,Wright,JennaWright,Female,130000.00,2018-09-04,Lemon Grove
11292,Seth,Phillips,SethPhillips,Male,150000.00,2018-09-15,San Gabriel
11293,Luke,Long,LukeLong,Male,60000.00,2020-02-24,Port Orchard
11294,Dalton,Clark,DaltonClark,Male,60000.00,2020-09-25,Issaquah
11295,Taylor,Lewis,TaylorLewis,Female,80000.00,2018-09-25,Concord
11296,Haley,Richardson,HaleyRichardson,Female,50000.00,2018-09-01,Everett
11297,Noah,Coleman,NoahColeman,Male,70000.00,2018-09-26,Burbank
11298,Jon,Luo,JonLuo,Male,70000.00,2018-09-12,Chula Vista
11299,Orlando,Vazquez,OrlandoVazquez,Male,70000.00,2018-09-26,Burbank
11300,Fernando,Barnes,FernandoBarnes,Male,80000.00,2020-01-31,N. Vancouver
11301,Cameron,Rodriguez,CameronRodriguez,Male,80000.00,2020-06-09,Ballard
11302,Spencer,Russell,SpencerRussell,Male,90000.00,2018-09-06,Corvallis
11303,Julia,Coleman,JuliaColeman,Female,90000.00,2018-09-02,Edmonds
11304,Julia,Garcia,JuliaGarcia,Female,100000.00,2020-03-20,Portland
11305,Sean,Evans,SeanEvans,Male,110000.00,2020-03-25,Chula Vista
11306,Micah,Zhou,MicahZhou,Male,110000.00,2020-06-30,Coronado
11307,Hunter,Rodriguez,HunterRodriguez,Male,80000.00,2018-09-04,Daly City
11308,Ian,Gonzales,IanGonzales,Male,60000.00,2020-09-07,Oregon City
11309,Victoria,Lewis,VictoriaLewis,Female,60000.00,2020-07-09,Beaverton
11310,Erin,Sanders,ErinSanders,Female,70000.00,2020-08-12,San Francisco
11311,Gabrielle,Lopez,GabrielleLopez,Female,70000.00,2020-04-18,Lynnwood
11312,Sara,Richardson,SaraRichardson,Female,70000.00,2020-05-17,Lynnwood
11313,Trevor,Jenkins,TrevorJenkins,Male,70000.00,2020-05-07,Port Orchard
11314,Mya,Flores,MyaFlores,Female,70000.00,2020-02-25,Issaquah
11315,Hailey,Ward,HaileyWard,Female,70000.00,2020-05-20,Port Orchard
11316,Luke,Allen,LukeAllen,Male,60000.00,2020-01-12,Langford
11317,Victoria,Russell,VictoriaRussell,Female,40000.00,2018-09-01,Salem
11318,Jessica,Wilson,JessicaWilson,Female,40000.00,2020-10-17,Edmonds
11319,Jade,Bailey,JadeBailey,Female,70000.00,2018-09-09,Oakland
11320,Morgan,Hill,MorganHill,Female,80000.00,2020-06-15,Glendale
11321,Terrance,Raman,TerranceRaman,Male,90000.00,2020-02-23,Burien
11322,Sydney,Garcia,SydneyGarcia,Female,90000.00,2020-03-24,Bremerton
11323,Jose,Patterson,JosePatterson,Male,120000.00,2018-09-10,Daly City
11324,Zachary,Anderson,ZacharyAnderson,Male,90000.00,2018-09-26,Glendale
11325,Elijah,Ross,ElijahRoss,Male,90000.00,2018-09-19,Seattle
11326,Rafael,Xie,RafaelXie,Male,130000.00,2018-09-15,Beverly Hills
11327,Jaime,Moreno,JaimeMoreno,Male,90000.00,2018-09-26,Burbank
11328,Julian,Griffin,JulianGriffin,Male,90000.00,2020-01-05,Newton
11329,Andy,Alvarez,AndyAlvarez,Male,90000.00,2018-09-25,Concord
11330,Ryan,Thompson,RyanThompson,Male,110000.00,2020-02-12,Oak Bay
11331,Samantha,Jenkins,SamanthaJenkins,Female,90000.00,2020-02-07,Shawnee
11332,Deanna,Ramos,DeannaRamos,Female,10000.00,2018-10-15,Berlin
11333,Emily,Miller,EmilyMiller,Female,20000.00,2018-03-21,Newcastle upon Tyne
11334,Nicole,Brown,NicoleBrown,Female,10000.00,2018-03-04,Stoke-on-Trent
11335,Carla,Raman,CarlaRaman,Female,10000.00,2018-10-23,Hof
11336,Shaun,Raji,ShaunRaji,Male,20000.00,2019-09-27,Paris
11337,Jerome,Romero,JeromeRomero,Male,10000.00,2018-03-09,Watford
